"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apart.ment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"26",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6363,23,NA,"A9","8641 16TH AVENUE                         ","            ",11214,1,0,1,"2,058","1,492",1930,1,"A9","$560,000",2013-06-06,560000,1492,2058,0
"27",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6366,69,NA,"A1","8658 BAY 16TH   STREET                   ","            ",11214,1,0,1,"4,833","1,724",1930,1,"A1","$860,000",2012-12-18,860000,1724,4833,0
"28",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6371,21,NA,"A9","73 BAY 20TH   STREET                     ","            ",11214,1,0,1,"2,417","2,132",1930,1,"A9","$508,000",2012-08-24,508000,2132,2417,0
"29",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6378,64,NA,"A1","56 BAY 28TH   STREET                     ","            ",11214,1,0,1,"3,867","1,704",1899,1,"A1","$600,000",2013-06-18,6e+05,1704,3867,0
"31",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6380,69,NA,"S1","8662 BAY PARKWAY                         ","            ",11214,1,1,2,"2,707","3,304",1960,1,"S1","$820,000",2012-11-29,820000,3304,2707,0
"32",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6395,20,NA,"A5","135 BAY 10TH STREET                      ","            ",11228,1,0,1,"2,417","2,000",1935,1,"A5","$690,000",2012-11-14,690000,2000,2417,0
"33",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6405,49,NA,"S1","1863 BATH AVENUE                         ","            ",11214,1,1,2,"1,172","1,800",1920,1,"S1","$550,000",2013-06-03,550000,1800,1172,0
"34",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6409,35,NA,"A9","94 BAY 25TH   STREET                     ","            ",11214,1,0,1,"1,440","1,281",1915,1,"A9","$479,000",2013-03-11,479000,1281,1440,0
"35",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6412,16,NA,"A1","8739 21ST   AVENUE                       ","            ",11214,1,0,1,"2,513","2,346",1935,1,"A1","$738,000",2013-06-06,738000,2346,2513,0
"37",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6426,35,NA,"A9","183 BAY 8TH STREET                       ","            ",11228,1,0,1,"1,933","1,562",1920,1,"A9","$685,000",2013-05-07,685000,1562,1933,0
"39",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6431,11,NA,"A9","1629 CROPSEY AVENUE                      ","            ",11214,1,0,1,"1,713","2,500",1930,1,"A9","$520,000",2013-05-31,520000,2500,1713,0
"42",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6460,40,NA,"S2","8855 15TH AVE                            ","            ",11228,2,1,3,"7,747","5,107",1945,1,"A2","$1,707,200",2013-07-25,1707200,5107,7747,0
"43",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6461,143,NA,"A5","1169 SHORE PARKWAY                       ","            ",11214,1,0,1,"2,511","1,392",1950,1,"A5","$525,000",2013-01-03,525000,1392,2511,0
"44",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6461,231,NA,"A5","246 BAY 13TH STREET                      ","            ",11214,1,0,1,"1,648","1,392",1945,1,"A5","$420,000",2013-02-21,420000,1392,1648,0
"46",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6461,268,NA,"A5","247 BAY 13TH   STREET                    ","            ",11214,1,0,1,"1,649","1,392",1940,1,"A5","$520,000",2012-12-12,520000,1392,1649,0
"47",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6461,280,NA,"A5","273 BAY 13TH STREET                      ","            ",11214,1,0,1,"2,062","1,860",1940,1,"A5","$675,000",2013-03-22,675000,1860,2062,0
"48",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6461,292,NA,"A5","299 BAY 13TH   STREET                    ","            ",11214,1,0,1,"2,062","1,860",1940,1,"A5","$410,000",2013-03-01,410000,1860,2062,0
"49",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6461,312,NA,"A5","1155 SHORE PARKWAY                       ","            ",11214,1,0,1,"1,861","1,392",1940,1,"A5","$553,800",2013-07-24,553800,1392,1861,0
"50",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6461,335,NA,"A5","1141 SHORE PARKWAY                       ","            ",11214,1,0,1,"1,878","1,479",1945,1,"A5","$515,000",2012-11-16,515000,1479,1878,0
"51",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6463,129,NA,"A5","8845 18TH AVENUE                         ","            ",11214,1,0,1,"1,372","992",1950,1,"A5","$460,000",2013-03-18,460000,992,1372,0
"52",3,"BATH BEACH               ","01  ONE FAMILY HOMES                        ","1",6464,50,NA,"A9","280 BAY 20TH STREET                      ","            ",11214,1,0,1,"1,600","1,320",1940,1,"A9","$525,000",2013-01-24,525000,1320,1600,0
"56",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6359,30,NA,"B1","11 BAY 8TH   STREET                      ","            ",11228,2,0,2,"1,948","3,160",1930,1,"B1","$888,000",2013-07-17,888000,3160,1948,0
"58",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6361,2,NA,"B1","1543 BENSON AVE                          ","            ",11228,2,0,2,"2,383","2,242",1930,1,"B1","$700,000",2013-02-20,7e+05,2242,2383,0
"60",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6361,28,NA,"B3","29 BAY 10TH STREET                       ","            ",11228,2,0,2,"2,103","1,622",1930,1,"B3","$525,000",2012-11-13,525000,1622,2103,0
"62",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6363,57,NA,"B1","32 BAY 13TH   STREET                     ","            ",11214,2,0,2,"2,167","2,340",1920,1,"B1","$860,000",2013-06-19,860000,2340,2167,0
"64",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6365,7,NA,"B1","1661 BENSON AVENUE                       ","            ",11214,2,0,2,"1,800","2,048",1910,1,"B1","$580,000",2013-03-21,580000,2048,1800,0
"68",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6368,25,NA,"B2","15 BAY 17TH STREET                       ","            ",11214,2,0,2,"2,417","2,512",1905,1,"B2","$750,000",2013-04-03,750000,2512,2417,0
"69",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6369,81,NA,"B3","74 BAY 19TH STREET                       ","            ",11214,2,0,2,"985","1,200",1930,1,"B3","$550,000",2013-06-28,550000,1200,985,0
"70",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6370,63,NA,"B3","22 BAY 20TH STREET                       ","            ",11214,2,0,2,"2,417","1,584",1930,1,"B3","$600,000",2013-04-02,6e+05,1584,2417,0
"73",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6373,5,NA,"B3","1925 BENSON AVENUE                       ","            ",11214,2,0,2,"5,000","2,890",1935,1,"B3","$830,000",2013-04-05,830000,2890,5000,0
"74",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6374,31,NA,"B2","45 BAY 23RD STREET                       ","            ",11214,2,0,2,"3,853","3,340",1940,1,"B2","$645,000",2013-06-18,645000,3340,3853,0
"78",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6377,27,NA,"B3","33 BAY 26TH   STREET                     ","            ",11214,2,0,2,"4,833","1,984",1899,1,"B3","$925,000",2012-08-13,925000,1984,4833,0
"79",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6377,47,NA,"B3","8610 21ST   AVENUE                       ","            ",11214,2,0,2,"9,667","2,904",1899,1,"B3","$2,220,000",2012-12-28,2220000,2904,9667,0
"84",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6393,9,NA,"B3","1451 BATH AVENUE                         ","            ",11228,2,0,2,"1,933","2,115",1920,1,"B3","$520,000",2012-08-24,520000,2115,1933,0
"85",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6394,36,NA,"B1","8691 15TH   AVENUE                       ","            ",11228,2,0,2,"2,344","3,240",1940,1,"B1","$97,500",2012-11-20,97500,3240,2344,0
"88",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6395,63,NA,"B9","134 BAY 11TH   STREET                    ","            ",11228,2,0,2,"1,925","2,018",1955,1,"B9","$742,500",2012-11-16,742500,2018,1925,0
"89",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6396,65,NA,"B9","8740 16TH   AVENUE                       ","            ",11214,2,0,2,"1,993","2,160",1960,1,"B9","$710,000",2013-03-26,710000,2160,1993,0
"93",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6398,54,NA,"B1","122 BAY 14 STREET                        ","            ",11214,2,0,2,"2,167","2,448",1925,1,"B1","$700,000",2012-09-28,7e+05,2448,2167,0
"96",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6400,2,NA,"S2","1721 BATH AVENUE                         ","            ",11214,2,1,3,"2,025","4,400",1925,1,"S2","$595,000",2013-02-13,595000,4400,2025,0
"99",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6402,22,NA,"B3","123 BAY 17TH STREET                      ","            ",11214,2,0,2,"1,933","1,513",1910,1,"B3","$650,000",2012-08-17,650000,1513,1933,0
"101",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6406,37,NA,"B3","132 BAY 22ND STREET                      ","            ",11214,2,0,2,"5,518","3,254",1899,1,"B3","$995,000",2012-12-31,995000,3254,5518,0
"103",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6424,31,NA,"B9","8793 14TH AVENUE                         ","            ",11228,2,0,2,"2,449","1,802",1935,1,"B9","$750,000",2012-08-13,750000,1802,2449,0
"104",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6424,40,NA,"B1","8773 14TH AVENUE                         ","            ",11228,2,0,2,"2,000","1,812",1935,1,"B1","$699,000",2012-09-27,699000,1812,2000,0
"105",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6424,52,NA,"B2","186 BAY 7TH STREET                       ","            ",11228,2,0,2,"1,933","2,560",1935,1,"B2","$650,000",2013-06-28,650000,2560,1933,0
"110",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6427,42,NA,"B1","178 BAY 10TH   STREET                    ","            ",11228,2,0,2,"2,147","1,635",1955,1,"B1","$697,000",2012-12-14,697000,1635,2147,0
"114",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6431,36,NA,"B2","173 BAY 13 STREET                        ","            ",11214,2,0,2,"2,331","1,940",1899,1,"B2","$586,000",2013-06-04,586000,1940,2331,0
"116",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6432,9,NA,"B1","1657 CROPSEY AVENUE                      ","            ",11214,2,0,2,"1,916","1,762",1960,1,"B1","$685,000",2012-08-08,685000,1762,1916,0
"118",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6434,56,NA,"B3","212 BAY 17TH STREET                      ","            ",11214,2,0,2,"1,643","1,934",1930,1,"B3","$350,000",2012-08-13,350000,1934,1643,0
"119",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6438,34,NA,"S2","1862 BATH AVENUE                         ","            ",11214,2,1,3,"1,091","3,420",1920,1,"S2","$550,000",2012-12-20,550000,3420,1091,0
"121",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6444,26,NA,"B3","175 BAY 26TH STREET                      ","            ",11214,2,0,2,"1,837","1,995",1901,1,"B3","$605,000",2012-09-12,605000,1995,1837,0
"123",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6459,60,NA,"B9","8890 15TH AVENUE                         ","            ",11228,2,0,2,"3,867","2,802",1955,1,"B9","$750,000",2012-12-26,750000,2802,3867,0
"124",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6459,65,NA,"B9","8904 15TH AVENUE                         ","            ",11228,2,0,2,"3,867","2,348",1955,1,"B9","$950,000",2013-02-20,950000,2348,3867,0
"125",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6460,1,NA,"B3","8943 15TH AVENUE                         ","            ",11228,2,0,2,"1,740","1,674",1960,1,"B3","$639,500",2012-10-09,639500,1674,1740,0
"126",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6460,28,NA,"B9","8885 15TH   AVENUE                       ","            ",11228,2,0,2,"1,933","2,060",1965,1,"B9","$762,000",2013-02-14,762000,2060,1933,0
"129",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6460,95,NA,"B3","299 BAY 10TH STREET                      ","            ",11228,2,0,2,"1,772","1,998",1955,1,"B3","$695,000",2013-02-04,695000,1998,1772,0
"131",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6460,161,NA,"B1","335 BAY 11TH   STREET                    ","            ",11228,2,0,2,"2,000","1,928",1950,1,"B1","$705,000",2012-11-20,705000,1928,2000,0
"133",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6460,234,NA,"B3","8910 16TH AVENUE                         ","            ",11214,2,0,2,"1,980","1,782",1950,1,"B3","$600,000",2013-04-04,6e+05,1782,1980,0
"134",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6461,187,NA,"B9","8867 16TH   AVENUE                       ","            ",11214,2,0,2,"2,138","1,782",1940,1,"B9","$630,000",2013-07-10,630000,1782,2138,0
"135",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6461,201,NA,"B3","8897 16TH AVENUE                         ","            ",11214,2,0,2,"2,352","1,860",1940,1,"B3","$670,000",2012-10-25,670000,1860,2352,0
"136",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6461,314,NA,"B3","1151 SHORE PARKWAY                       ","            ",11214,2,0,2,"2,852","2,340",1940,1,"B3","$715,000",2012-09-21,715000,2340,2852,0
"142",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6463,121,NA,"B1","8863 18TH   AVENUE                       ","            ",11214,2,0,2,"1,783","1,980",1950,1,"B1","$650,000",2012-11-27,650000,1980,1783,0
"143",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6463,123,NA,"B1","8859 18TH   AVENUE                       ","            ",11214,2,0,2,"1,765","1,980",1950,1,"B1","$610,000",2013-05-24,610000,1980,1765,0
"144",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6464,40,NA,"B3","260 BAY 20TH STREET                      ","            ",11214,2,0,2,"2,200","1,776",1940,1,"B3","$635,000",2012-09-14,635000,1776,2200,0
"146",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6464,154,NA,"B3","8862 19TH AVENUE                         ","            ",11214,2,0,2,"2,127","1,928",1940,1,"B3","$620,000",2012-09-19,620000,1928,2127,0
"147",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6464,173,NA,"B3","8906 19TH   AVENUE                       ","            ",11214,2,0,2,"2,127","1,610",1940,1,"B3","$580,000",2012-12-17,580000,1610,2127,0
"149",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6464,186,NA,"B9","1355 SHORE PARKWAY                       ","            ",11214,2,0,2,"2,175","1,720",1940,1,"B9","$650,000",2012-08-30,650000,1720,2175,0
"151",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6465,23,NA,"B9","1932 20TH DRIVE                          ","            ",11214,2,0,2,"2,634","1,652",1940,1,"B9","$600,000",2012-08-30,6e+05,1652,2634,0
"153",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6465,88,NA,"B3","8857 19TH   AVENUE                       ","            ",11214,2,0,2,"1,547","1,584",1940,1,"B3","$240,000",2013-01-15,240000,1584,1547,0
"156",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6466,31,NA,"B9","8850 20TH AVENUE                         ","            ",11214,2,0,2,"2,182","1,869",1945,1,"B9","$625,000",2013-06-17,625000,1869,2182,0
"158",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6466,48,NA,"B9","1963 20TH DRIVE                          ","            ",11214,2,0,2,"1,978","1,673",1945,1,"B9","$558,000",2012-09-25,558000,1673,1978,0
"160",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6468,2,NA,"B9","8876 20TH   AVENUE                       ","            ",11214,2,0,2,"1,980","1,993",1945,1,"B9","$550,000",2012-10-17,550000,1993,1980,0
"161",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6468,68,NA,"B1","1918 19TH LANE                           ","            ",11214,2,0,2,"1,710","1,584",1945,1,"B1","$648,000",2012-08-31,648000,1584,1710,0
"162",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6468,82,NA,"B1","1944 19TH   LANE                         ","            ",11214,2,0,2,"1,710","1,584",1945,1,"B1","$640,000",2012-12-18,640000,1584,1710,0
"163",3,"BATH BEACH               ","02  TWO FAMILY HOMES                        ","1",6485,77,NA,"B9","1105 SHORE PARKWAY                       ","            ",11228,2,0,2,"2,183","1,734",1960,1,"B9","$550,000",2012-12-28,550000,1734,2183,0
"168",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6366,24,NA,"C0","8645 17TH   AVENUE                       ","            ",11214,3,0,3,"1,933","3,240",1901,1,"C0","$700,000",2012-09-21,7e+05,3240,1933,0
"169",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6368,6,NA,"C0","69 BAY 17TH   STREET                     ","            ",11214,3,0,3,"4,833","3,826",1905,1,"C0","$950,000",2012-08-27,950000,3826,4833,0
"171",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6370,21,NA,"C0","75 BAY 19TH STREET                       ","            ",11214,3,0,3,"3,867","4,480",1930,1,"C0","$400,000",2013-03-15,4e+05,4480,3867,0
"172",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6370,61,NA,"C0","14 BAY 20TH   STREET                     ","            ",11214,3,0,3,"3,867","3,428",1930,1,"C0","$1,398,000",2013-05-09,1398000,3428,3867,0
"175",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6371,87,NA,"C0","8682 19TH AVENUE                         ","            ",11214,3,0,3,"3,222","3,362",1930,1,"C0","$499,000",2013-05-22,499000,3362,3222,0
"176",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6371,88,NA,"C0","8684 19TH AVENUE                         ","            ",11214,3,0,3,"3,222","3,362",1930,1,"C0","$998,000",2013-05-22,998000,3362,3222,0
"180",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6376,37,NA,"C0","11 BAY 25TH STREET                       ","            ",11214,3,0,3,"1,933","2,774",1930,1,"C0","$845,000",2013-03-11,845000,2774,1933,0
"186",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6395,69,NA,"C0","152 BAY 11TH STREET                      ","            ",11228,3,0,3,"2,900","4,212",2008,1,"C0","$1,256,000",2013-05-07,1256000,4212,2900,0
"188",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6399,58,NA,"C0","8722 17TH AVENUE                         ","            ",11214,3,0,3,"3,792","2,714",1915,1,"C0","$927,000",2012-09-05,927000,2714,3792,0
"189",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6400,11,NA,"C0","8757 17TH AVENUE                         ","            ",11214,3,0,3,"4,350","2,924",1915,1,"C0","$890,000",2013-04-24,890000,2924,4350,0
"192",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6408,8,NA,"C0","137 BAY 23RD STREET                      ","            ",11214,3,0,3,"3,626","3,003",1955,1,"C0","$995,000",2012-08-01,995000,3003,3626,0
"194",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6412,11,NA,"C0","8753 21ST AVENUE                         ","            ",11214,3,0,3,"1,740","2,623",1970,1,"C0","$780,000",2012-10-10,780000,2623,1740,0
"195",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6412,29,NA,"C0","8707 21ST AVENUE                         ","            ",11214,3,0,3,"1,933","2,680",1975,1,"C0","$745,000",2013-01-31,745000,2680,1933,0
"197",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6412,55,NA,"C0","120 BAY 28TH STREET                      ","            ",11214,3,0,3,"5,800","4,800",2006,1,"C0","$1,190,000",2013-03-14,1190000,4800,5800,0
"198",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6414,20,NA,"C0","125-127 BAY 29TH STREET                  ","            ",11214,3,0,3,"5,800","4,800",2008,1,"C0","$1,250,000",2013-02-12,1250000,4800,5800,0
"200",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6414,55,NA,"C0","8716-8718 BAY PARKWAY                    ","            ",11214,3,0,3,"3,867","3,932",1910,1,"C0","$900,000",2013-04-10,9e+05,3932,3867,0
"201",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6426,1,NA,"C0","1469 CROPSEY AVENUE                      ","            ",11228,3,0,3,"4,327","3,952",1899,1,"C0","$1,300,000",2012-12-28,1300000,3952,4327,0
"205",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6429,30,NA,"C0","187 BAY 11TH   STREET                    ","            ",11228,3,0,3,"1,933","2,529",1910,1,"C0","$600,000",2012-09-18,6e+05,2529,1933,0
"206",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6439,36,NA,"C0","172 BAY 22ND   STREET                    ","            ",11214,3,0,3,"2,435","2,845",1945,1,"C0","$960,000",2012-11-08,960000,2845,2435,0
"209",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6443,19,NA,"C0","183 BAY 25TH   STREET                    ","            ",11214,3,0,3,"2,900","3,933",1920,1,"C0","$990,000",2013-04-19,990000,3933,2900,0
"210",3,"BATH BEACH               ","03  THREE FAMILY HOMES                      ","1",6447,22,NA,"C0","187 BAY 29TH STREET                      ","            ",11214,3,0,3,"5,800","4,180",1920,1,"C0","$1,200,000",2013-02-22,1200000,4180,5800,0
"313",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5763,22,NA,"A5","836 67TH STREET                          ","            ",11220,1,0,1,"2,000","1,905",1935,1,"A5","$690,000",2013-04-10,690000,1905,2000,0
"314",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5763,25,NA,"A5","844 67TH STREET                          ","            ",11220,1,0,1,"2,000","1,905",1935,1,"A5","$690,000",2013-01-14,690000,1905,2000,0
"315",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5817,15,NA,"A5","322 64TH STREET                          ","            ",11220,1,0,1,"1,343","920",1925,1,"A5","$430,000",2013-02-25,430000,920,1343,0
"316",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5839,15,NA,"A9","6655 SEDGWICK PLACE                      ","            ",11220,1,0,1,"6,000","4,455",1901,1,"A9","$1,205,000",2013-03-22,1205000,4455,6000,0
"317",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5839,37,NA,"A1","6656 BERGEN PLACE                        ","            ",11220,1,0,1,"2,667","1,372",1925,1,"A1","$841,000",2013-02-25,841000,1372,2667,0
"319",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5848,22,NA,"A5","138 67TH STREET                          ","            ",11220,1,0,1,"1,667","2,094",1993,1,"A5","$670,000",2013-01-17,670000,2094,1667,0
"320",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5848,46,NA,"A4","6714 RIDGE BOULEVARD                     ","            ",11220,1,0,1,"1,581","2,400",1910,1,"A4","$650,000",2012-08-20,650000,2400,1581,0
"321",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5848,69,NA,"A5","139 SENATOR STREET                       ","            ",11220,1,0,1,"2,000","1,248",1915,1,"A5","$750,000",2013-08-02,750000,1248,2000,0
"322",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5852,28,NA,"A4","170 SENATOR STREET                       ","            ",11220,1,0,1,"2,000","1,600",1905,1,"A4","$750,000",2013-02-25,750000,1600,2000,0
"327",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5858,22,NA,"A5","736 67 STREET                            ","            ",11220,1,0,1,"1,500","1,245",1920,1,"A5","$610,000",2013-02-01,610000,1245,1500,0
"329",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5858,49,NA,"A5","727 68TH STREET                          ","            ",11220,1,0,1,"1,467","1,192",1920,1,"A5","$653,000",2013-06-10,653000,1192,1467,0
"332",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5861,65,NA,"S1","181 BAY RIDGE AVENUE                     ","            ",11220,1,1,2,"2,610","2,052",1924,1,"S1","$715,000",2012-09-27,715000,2052,2610,0
"333",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5865,38,NA,"A5","6803 VISTA                               ","            ",11220,1,0,1,"1,600","1,632",1920,1,"A5","$640,000",2013-01-11,640000,1632,1600,0
"334",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5866,9,NA,"A5","6803 6TH AVENUE                          ","            ",11220,1,0,1,"1,952","1,393",1925,1,"A5","$548,000",2012-08-09,548000,1393,1952,0
"335",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5869,22,NA,"A5","80 BAY RIDGE AVENUE                      ","            ",11220,1,0,1,"2,000","2,210",1925,1,"A5","$778,000",2013-02-27,778000,2210,2000,0
"336",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5871,5,NA,"A4","6931 RIDGE BOULEVARD                     ","            ",11209,1,0,1,"1,800","2,634",1899,1,"A4","$805,000",2013-03-27,805000,2634,1800,0
"340",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5882,90,NA,"A5","7024 COLONIAL ROAD                       ","            ",11209,1,0,1,"1,454","1,995",1925,1,"A5","$685,000",2013-04-02,685000,1995,1454,0
"341",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5884,76,NA,"A5","51 71ST STREET                           ","            ",11209,1,0,1,"1,130","1,260",1935,1,"A5","$588,000",2012-10-15,588000,1260,1130,0
"344",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5888,61,NA,"A4","89 72ND   STREET                         ","            ",11209,1,0,1,"2,000","1,828",1925,1,"A4","$645,000",2013-05-14,645000,1828,2000,0
"345",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5891,81,NA,"A5","335 72ND   STREET                        ","            ",11209,1,0,1,"1,800","1,560",1925,1,"A5","$655,000",2012-09-20,655000,1560,1800,0
"346",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5905,33,NA,"A5","114 72ND STREET                          ","            ",11209,1,0,1,"2,000","2,115",1910,1,"A5","$886,000",2012-08-16,886000,2115,2000,0
"347",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5915,75,NA,"A1","39 74TH STREET                           ","            ",11209,1,0,1,"4,000","2,214",1901,1,"A1","$1,225,000",2013-07-23,1225000,2214,4000,0
"348",3,"BAY RIDGE                ","01  ONE FAMILY HOMES                        ","1",5916,60,NA,"A5","147 74TH   STREET                        ","            ",11209,1,0,1,"2,067","1,760",1920,1,"A5","$861,000",2012-09-28,861000,1760,2067,0
