,borough,neighborhood,building class category,tax class at present,block,lot,ease-ment,building class at present,address,apartment number,zip code,residential units,commercial units,total units,land square feet,gross square feet,year built,tax class at time of sale,building class at time of sale,sale price,sale date,gross square feet log,sale price log
25,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6363,23, ,A9,8641 16TH AVENUE                         ,            ,11214,1,0,1,2058,1492,1930,1,A9,560000,2013-06-06,7.307872780763706,13.235692062711331
26,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6366,69, ,A1,8658 BAY 16TH   STREET                   ,            ,11214,1,0,1,4833,1724,1930,1,A1,860000,2012-12-18,7.452402451223638,13.664687668229691
27,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6371,21, ,A9,73 BAY 20TH   STREET                     ,            ,11214,1,0,1,2417,2132,1930,1,A9,508000,2012-08-24,7.664815785285735,13.138236726560619
28,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6378,64, ,A1,56 BAY 28TH   STREET                     ,            ,11214,1,0,1,3867,1704,1899,1,A1,600000,2013-06-18,7.440733707389261,13.304684934198283
30,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6380,69, ,S1,8662 BAY PARKWAY                         ,            ,11214,1,1,2,2707,3304,1960,1,S1,820000,2012-11-29,8.102889134640868,13.617059619240436
31,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6395,20, ,A5,135 BAY 10TH STREET                      ,            ,11228,1,0,1,2417,2000,1935,1,A5,690000,2012-11-14,7.600902459542082,13.444446876573442
32,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6405,49, ,S1,1863 BATH AVENUE                         ,            ,11214,1,1,2,1172,1800,1920,1,S1,550000,2013-06-03,7.495541943884256,13.217673557208654
33,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6409,35, ,A9,94 BAY 25TH   STREET                     ,            ,11214,1,0,1,1440,1281,1915,1,A9,479000,2013-03-11,7.155396301896734,13.079455876393052
34,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6412,16, ,A1,8739 21ST   AVENUE                       ,            ,11214,1,0,1,2513,2346,1935,1,A1,738000,2013-06-06,7.76046702921342,13.51169910358261
36,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6426,35, ,A9,183 BAY 8TH STREET                       ,            ,11228,1,0,1,1933,1562,1920,1,A9,685000,2013-05-07,7.3537223303996315,13.437174117244362
38,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6431,11, ,A9,1629 CROPSEY AVENUE                      ,            ,11214,1,0,1,1713,2500,1930,1,A9,520000,2013-05-31,7.824046010856292,13.16158409055761
41,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,40, ,S2,8855 15TH AVE                            ,            ,11228,2,1,3,7747,5107,1945,1,A2,1707200,2013-07-25,8.538367426647644,14.350365159529625
42,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,143, ,A5,1169 SHORE PARKWAY                       ,            ,11214,1,0,1,2511,1392,1950,1,A5,525000,2013-01-03,7.238496840894365,13.17115354157376
43,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,231, ,A5,246 BAY 13TH STREET                      ,            ,11214,1,0,1,1648,1392,1945,1,A5,420000,2013-02-21,7.238496840894365,12.948009990259552
45,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,268, ,A5,247 BAY 13TH   STREET                    ,            ,11214,1,0,1,1649,1392,1940,1,A5,520000,2012-12-12,7.238496840894365,13.16158409055761
46,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,280, ,A5,273 BAY 13TH STREET                      ,            ,11214,1,0,1,2062,1860,1940,1,A5,675000,2013-03-22,7.528331766707247,13.422467969854667
47,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,292, ,A5,299 BAY 13TH   STREET                    ,            ,11214,1,0,1,2062,1860,1940,1,A5,410000,2013-03-01,7.528331766707247,12.92391243868049
48,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,312, ,A5,1155 SHORE PARKWAY                       ,            ,11214,1,0,1,1861,1392,1940,1,A5,553800,2013-07-24,7.238496840894365,13.224558889718999
49,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,335, ,A5,1141 SHORE PARKWAY                       ,            ,11214,1,0,1,1878,1479,1945,1,A5,515000,2012-11-16,7.2991214627108,13.151922179645874
50,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6463,129, ,A5,8845 18TH AVENUE                         ,            ,11214,1,0,1,1372,992,1950,1,A5,460000,2013-03-18,6.899723107284872,13.038981768465277
51,3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6464,50, ,A9,280 BAY 20TH STREET                      ,            ,11214,1,0,1,1600,1320,1940,1,A9,525000,2013-01-24,7.1853870155804165,13.17115354157376
55,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6359,30, ,B1,11 BAY 8TH   STREET                      ,            ,11228,2,0,2,1948,3160,1930,1,B1,888000,2013-07-17,8.058327306580958,13.696727021974308
57,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6361,2, ,B1,1543 BENSON AVE                          ,            ,11228,2,0,2,2383,2242,1930,1,B1,700000,2013-02-20,7.715123603632105,13.458835614025542
59,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6361,28, ,B3,29 BAY 10TH STREET                       ,            ,11228,2,0,2,2103,1622,1930,1,B3,525000,2012-11-13,7.3914152346753585,13.17115354157376
61,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6363,57, ,B1,32 BAY 13TH   STREET                     ,            ,11214,2,0,2,2167,2340,1920,1,B1,860000,2013-06-19,7.757906208351747,13.664687668229691
63,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6365,7, ,B1,1661 BENSON AVENUE                       ,            ,11214,2,0,2,1800,2048,1910,1,B1,580000,2013-03-21,7.6246189861593985,13.270783382522602
67,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6368,25, ,B2,15 BAY 17TH STREET                       ,            ,11214,2,0,2,2417,2512,1905,1,B2,750000,2013-04-03,7.828834527588089,13.527828485512494
68,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6369,81, ,B3,74 BAY 19TH STREET                       ,            ,11214,2,0,2,985,1200,1930,1,B3,550000,2013-06-28,7.090076835776092,13.217673557208654
69,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6370,63, ,B3,22 BAY 20TH STREET                       ,            ,11214,2,0,2,2417,1584,1930,1,B3,600000,2013-04-02,7.367708572374371,13.304684934198283
72,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6373,5, ,B3,1925 BENSON AVENUE                       ,            ,11214,2,0,2,5000,2890,1935,1,B3,830000,2013-04-05,7.969011781106478,13.62918097977278
73,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6374,31, ,B2,45 BAY 23RD STREET                       ,            ,11214,2,0,2,3853,3340,1940,1,B2,645000,2013-06-18,8.113726085970747,13.37700559577791
77,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6377,27, ,B3,33 BAY 26TH   STREET                     ,            ,11214,2,0,2,4833,1984,1899,1,B3,925000,2012-08-13,7.592870287844818,13.737549016494562
78,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6377,47, ,B3,8610 21ST   AVENUE                       ,            ,11214,2,0,2,9667,2904,1899,1,B3,2220000,2012-12-28,7.973844375944687,14.613017753848462
83,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6393,9, ,B3,1451 BATH AVENUE                         ,            ,11228,2,0,2,1933,2115,1920,1,B3,520000,2012-08-24,7.656810091480378,13.16158409055761
84,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6394,36, ,B1,8691 15TH   AVENUE                       ,            ,11228,2,0,2,2344,3240,1940,1,B1,97500,2012-11-20,8.083328608786376,11.487607656985938
87,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6395,63, ,B9,134 BAY 11TH   STREET                    ,            ,11228,2,0,2,1925,2018,1955,1,B9,742500,2012-11-16,7.609862200913554,13.517778149658993
88,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6396,65, ,B9,8740 16TH   AVENUE                       ,            ,11214,2,0,2,1993,2160,1960,1,B9,710000,2013-03-26,7.67786350067821,13.473020249017498
92,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6398,54, ,B1,122 BAY 14 STREET                        ,            ,11214,2,0,2,2167,2448,1925,1,B1,700000,2012-09-28,7.803026643632217,13.458835614025542
95,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6400,2, ,S2,1721 BATH AVENUE                         ,            ,11214,2,1,3,2025,4400,1925,1,S2,595000,2013-02-13,8.389359819906353,13.296316684527767
98,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6402,22, ,B3,123 BAY 17TH STREET                      ,            ,11214,2,0,2,1933,1513,1910,1,B3,650000,2012-08-17,7.321849713788356,13.38472764187182
100,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6406,37, ,B3,132 BAY 22ND STREET                      ,            ,11214,2,0,2,5518,3254,1899,1,B3,995000,2012-12-31,8.087640287778983,13.81049801614073
102,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6424,31, ,B9,8793 14TH AVENUE                         ,            ,11228,2,0,2,2449,1802,1935,1,B9,750000,2012-08-13,7.496652438168283,13.527828485512494
103,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6424,40, ,B1,8773 14TH AVENUE                         ,            ,11228,2,0,2,2000,1812,1935,1,B1,699000,2012-09-27,7.502186486602924,13.457406021215947
104,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6424,52, ,B2,186 BAY 7TH STREET                       ,            ,11228,2,0,2,1933,2560,1935,1,B2,650000,2013-06-28,7.847762537473608,13.38472764187182
109,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6427,42, ,B1,178 BAY 10TH   STREET                    ,            ,11228,2,0,2,2147,1635,1955,1,B1,697000,2012-12-14,7.399398083331354,13.454540689742661
113,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6431,36, ,B2,173 BAY 13 STREET                        ,            ,11214,2,0,2,2331,1940,1899,1,B2,586000,2013-06-04,7.570443252057374,13.281075068559149
115,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6432,9, ,B1,1657 CROPSEY AVENUE                      ,            ,11214,2,0,2,1916,1762,1960,1,B1,685000,2012-08-08,7.474204806496124,13.437174117244362
117,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6434,56, ,B3,212 BAY 17TH STREET                      ,            ,11214,2,0,2,1643,1934,1930,1,B3,350000,2012-08-13,7.56734567601324,12.765688433465597
118,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6438,34, ,S2,1862 BATH AVENUE                         ,            ,11214,2,1,3,1091,3420,1920,1,S2,550000,2012-12-20,8.13739583005665,13.217673557208654
120,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6444,26, ,B3,175 BAY 26TH STREET                      ,            ,11214,2,0,2,1837,1995,1901,1,B3,605000,2012-09-12,7.598399329323964,13.312983737012978
122,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6459,60, ,B9,8890 15TH AVENUE                         ,            ,11228,2,0,2,3867,2802,1955,1,B9,750000,2012-12-26,7.938088726896952,13.527828485512494
123,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6459,65, ,B9,8904 15TH AVENUE                         ,            ,11228,2,0,2,3867,2348,1955,1,B9,950000,2013-02-20,7.761319180947987,13.764217263576723
124,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,1, ,B3,8943 15TH AVENUE                         ,            ,11228,2,0,2,1740,1674,1960,1,B3,639500,2012-10-09,7.422971251049421,13.368441900001034
125,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,28, ,B9,8885 15TH   AVENUE                       ,            ,11228,2,0,2,1933,2060,1965,1,B9,762000,2013-02-14,7.630461261783627,13.543701834668783
128,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,95, ,B3,299 BAY 10TH STREET                      ,            ,11228,2,0,2,1772,1998,1955,1,B3,695000,2013-02-04,7.599901959208498,13.45166712454693
130,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,161, ,B1,335 BAY 11TH   STREET                    ,            ,11228,2,0,2,2000,1928,1950,1,B1,705000,2012-11-20,7.564238475170491,13.465953081794405
132,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,234, ,B3,8910 16TH AVENUE                         ,            ,11214,2,0,2,1980,1782,1950,1,B3,600000,2013-04-04,7.485491608030754,13.304684934198283
133,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6461,187, ,B9,8867 16TH   AVENUE                       ,            ,11214,2,0,2,2138,1782,1940,1,B9,630000,2013-07-10,7.485491608030754,13.353475098367715
134,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6461,201, ,B3,8897 16TH AVENUE                         ,            ,11214,2,0,2,2352,1860,1940,1,B3,670000,2012-10-25,7.528331766707247,13.415032991367148
135,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6461,314, ,B3,1151 SHORE PARKWAY                       ,            ,11214,2,0,2,2852,2340,1940,1,B3,715000,2012-09-21,7.757906208351747,13.480037821676145
141,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6463,121, ,B1,8863 18TH   AVENUE                       ,            ,11214,2,0,2,1783,1980,1950,1,B1,650000,2012-11-27,7.590852123688581,13.38472764187182
142,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6463,123, ,B1,8859 18TH   AVENUE                       ,            ,11214,2,0,2,1765,1980,1950,1,B1,610000,2013-05-24,7.590852123688581,13.321214236149494
143,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,40, ,B3,260 BAY 20TH STREET                      ,            ,11214,2,0,2,2200,1776,1940,1,B3,635000,2012-09-14,7.4821189235521155,13.36138027787483
145,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,154, ,B3,8862 19TH AVENUE                         ,            ,11214,2,0,2,2127,1928,1940,1,B3,620000,2012-09-19,7.564238475170491,13.337474757021274
146,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,173, ,B3,8906 19TH   AVENUE                       ,            ,11214,2,0,2,2127,1610,1940,1,B3,580000,2012-12-17,7.383989457978509,13.270783382522602
148,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6464,186, ,B9,1355 SHORE PARKWAY                       ,            ,11214,2,0,2,2175,1720,1940,1,B9,650000,2012-08-30,7.450079569807499,13.38472764187182
150,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6465,23, ,B9,1932 20TH DRIVE                          ,            ,11214,2,0,2,2634,1652,1940,1,B9,600000,2012-08-30,7.409741954080923,13.304684934198283
152,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6465,88, ,B3,8857 19TH   AVENUE                       ,            ,11214,2,0,2,1547,1584,1940,1,B3,240000,2013-01-15,7.367708572374371,12.388394202324129
155,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6466,31, ,B9,8850 20TH AVENUE                         ,            ,11214,2,0,2,2182,1869,1945,1,B9,625000,2013-06-17,7.533158807455563,13.345506928718539
157,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6466,48, ,B9,1963 20TH DRIVE                          ,            ,11214,2,0,2,1978,1673,1945,1,B9,558000,2012-09-25,7.422373700986824,13.232114241363448
159,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6468,2, ,B9,8876 20TH   AVENUE                       ,            ,11214,2,0,2,1980,1993,1945,1,B9,550000,2012-10-17,7.597396320212795,13.217673557208654
160,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6468,68, ,B1,1918 19TH LANE                           ,            ,11214,2,0,2,1710,1584,1945,1,B1,648000,2012-08-31,7.367708572374371,13.381645975334411
161,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6468,82, ,B1,1944 19TH   LANE                         ,            ,11214,2,0,2,1710,1584,1945,1,B1,640000,2012-12-18,7.367708572374371,13.369223455335854
162,3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6485,77, ,B9,1105 SHORE PARKWAY                       ,            ,11228,2,0,2,2183,1734,1960,1,B9,550000,2012-12-28,7.458186157340487,13.217673557208654
167,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6366,24, ,C0,8645 17TH   AVENUE                       ,            ,11214,3,0,3,1933,3240,1901,1,C0,700000,2012-09-21,8.083328608786376,13.458835614025542
168,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6368,6, ,C0,69 BAY 17TH   STREET                     ,            ,11214,3,0,3,4833,3826,1905,1,C0,950000,2012-08-27,8.249575150000199,13.764217263576723
170,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6370,21, ,C0,75 BAY 19TH STREET                       ,            ,11214,3,0,3,3867,4480,1930,1,C0,400000,2013-03-15,8.40737832540903,12.89921982609012
171,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6370,61, ,C0,14 BAY 20TH   STREET                     ,            ,11214,3,0,3,3867,3428,1930,1,C0,1398000,2013-05-09,8.13973227971767,14.150553201775892
174,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6371,87, ,C0,8682 19TH AVENUE                         ,            ,11214,3,0,3,3222,3362,1930,1,C0,499000,2013-05-22,8.120291313968561,13.120361374733656
175,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6371,88, ,C0,8684 19TH AVENUE                         ,            ,11214,3,0,3,3222,3362,1930,1,C0,998000,2013-05-22,8.120291313968561,13.813508555293602
179,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6376,37, ,C0,11 BAY 25TH STREET                       ,            ,11214,3,0,3,1933,2774,1930,1,C0,845000,2013-03-11,7.928045600874777,13.64709190633931
185,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6395,69, ,C0,152 BAY 11TH STREET                      ,            ,11228,3,0,3,2900,4212,2008,1,C0,1256000,2013-05-07,8.345692873253865,14.04344262601028
187,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6399,58, ,C0,8722 17TH AVENUE                         ,            ,11214,3,0,3,3792,2714,1915,1,C0,927000,2012-09-05,7.906178840394815,13.739708844547993
188,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6400,11, ,C0,8757 17TH AVENUE                         ,            ,11214,3,0,3,4350,2924,1915,1,C0,890000,2013-04-24,7.980707820869669,13.698976741708323
191,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6408,8, ,C0,137 BAY 23RD STREET                      ,            ,11214,3,0,3,3626,3003,1955,1,C0,995000,2012-08-01,8.00736706798333,13.81049801614073
193,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6412,11, ,C0,8753 21ST AVENUE                         ,            ,11214,3,0,3,1740,2623,1970,1,C0,780000,2012-10-10,7.872073979866873,13.567049198665774
194,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6412,29, ,C0,8707 21ST AVENUE                         ,            ,11214,3,0,3,1933,2680,1975,1,C0,745000,2013-01-31,7.893572073504902,13.521139497361697
196,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6412,55, ,C0,120 BAY 28TH STREET                      ,            ,11214,3,0,3,5800,4800,2006,1,C0,1190000,2013-03-14,8.476371196895983,13.989463865087712
197,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6414,20, ,C0,125-127 BAY 29TH STREET                  ,            ,11214,3,0,3,5800,4800,2008,1,C0,1250000,2013-02-12,8.476371196895983,14.038654109278484
199,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6414,55, ,C0,8716-8718 BAY PARKWAY                    ,            ,11214,3,0,3,3867,3932,1910,1,C0,900000,2013-04-10,8.276903481267057,13.710150042306449
200,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6426,1, ,C0,1469 CROPSEY AVENUE                      ,            ,11228,3,0,3,4327,3952,1899,1,C0,1300000,2012-12-28,8.281977058867758,14.077874822431765
204,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6429,30, ,C0,187 BAY 11TH   STREET                    ,            ,11228,3,0,3,1933,2529,1910,1,C0,600000,2012-09-18,7.835579246669965,13.304684934198283
205,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6439,36, ,C0,172 BAY 22ND   STREET                    ,            ,11214,3,0,3,2435,2845,1945,1,C0,960000,2012-11-08,7.953318346560431,13.77468856344402
208,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6443,19, ,C0,183 BAY 25TH   STREET                    ,            ,11214,3,0,3,2900,3933,1920,1,C0,990000,2013-04-19,8.27715777243181,13.805460222110773
209,3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1,6447,22, ,C0,187 BAY 29TH STREET                      ,            ,11214,3,0,3,5800,4180,1920,1,C0,1200000,2013-02-22,8.338066525518801,13.997832114758229
312,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5763,22, ,A5,836 67TH STREET                          ,            ,11220,1,0,1,2000,1905,1935,1,A5,690000,2013-04-10,7.552237287560802,13.444446876573442
313,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5763,25, ,A5,844 67TH STREET                          ,            ,11220,1,0,1,2000,1905,1935,1,A5,690000,2013-01-14,7.552237287560802,13.444446876573442
314,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5817,15, ,A5,322 64TH STREET                          ,            ,11220,1,0,1,1343,920,1925,1,A5,430000,2013-02-25,6.824373670043086,12.971540487669746
315,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5839,15, ,A9,6655 SEDGWICK PLACE                      ,            ,11220,1,0,1,6000,4455,1901,1,A9,1205000,2013-03-22,8.40178233990491,14.001990124906893
316,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5839,37, ,A1,6656 BERGEN PLACE                        ,            ,11220,1,0,1,2667,1372,1925,1,A1,841000,2013-02-25,7.22402480828583,13.642346938955086
318,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5848,22, ,A5,138 67TH STREET                          ,            ,11220,1,0,1,1667,2094,1993,1,A5,670000,2013-01-17,7.646831391430482,13.415032991367148
319,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5848,46, ,A4,6714 RIDGE BOULEVARD                     ,            ,11220,1,0,1,1581,2400,1910,1,A4,650000,2012-08-20,7.783224016336037,13.38472764187182
320,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5848,69, ,A5,139 SENATOR STREET                       ,            ,11220,1,0,1,2000,1248,1915,1,A5,750000,2013-08-02,7.129297548929373,13.527828485512494
321,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5852,28, ,A4,170 SENATOR STREET                       ,            ,11220,1,0,1,2000,1600,1905,1,A4,750000,2013-02-25,7.3777589082278725,13.527828485512494
326,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5858,22, ,A5,736 67 STREET                            ,            ,11220,1,0,1,1500,1245,1920,1,A5,610000,2013-02-01,7.126890808898808,13.321214236149494
328,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5858,49, ,A5,727 68TH STREET                          ,            ,11220,1,0,1,1467,1192,1920,1,A5,653000,2013-06-10,7.083387847625295,13.389332408258568
331,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5861,65, ,S1,181 BAY RIDGE AVENUE                     ,            ,11220,1,1,2,2610,2052,1924,1,S1,715000,2012-09-27,7.62657020629066,13.480037821676145
332,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5865,38, ,A5,6803 VISTA                               ,            ,11220,1,0,1,1600,1632,1920,1,A5,640000,2013-01-11,7.397561535524052,13.369223455335854
333,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5866,9, ,A5,6803 6TH AVENUE                          ,            ,11220,1,0,1,1952,1393,1925,1,A5,548000,2012-08-09,7.239214973779806,13.214030565930152
334,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5869,22, ,A5,80 BAY RIDGE AVENUE                      ,            ,11220,1,0,1,2000,2210,1925,1,A5,778000,2013-02-27,7.700747794511798,13.564481803160529
335,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5871,5, ,A4,6931 RIDGE BOULEVARD                     ,            ,11209,1,0,1,1800,2634,1899,1,A4,805000,2013-03-27,7.876258882303226,13.5985975564007
339,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5882,90, ,A5,7024 COLONIAL ROAD                       ,            ,11209,1,0,1,1454,1995,1925,1,A5,685000,2013-04-02,7.598399329323964,13.437174117244362
340,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5884,76, ,A5,51 71ST STREET                           ,            ,11209,1,0,1,1130,1260,1935,1,A5,588000,2012-10-15,7.138866999945524,13.284482226880764
343,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5888,61, ,A4,89 72ND   STREET                         ,            ,11209,1,0,1,2000,1828,1925,1,A4,645000,2013-05-14,7.510977752014095,13.37700559577791
344,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5891,81, ,A5,335 72ND   STREET                        ,            ,11209,1,0,1,1800,1560,1925,1,A5,655000,2012-09-20,7.352441100243583,13.39239051461739
345,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5905,33, ,A5,114 72ND STREET                          ,            ,11209,1,0,1,2000,2115,1910,1,A5,886000,2012-08-16,7.656810091480378,13.694472229587218
346,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5915,75, ,A1,39 74TH STREET                           ,            ,11209,1,0,1,4000,2214,1901,1,A1,1225000,2013-07-23,7.7025561132685825,14.018451401960965
347,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5916,60, ,A5,147 74TH   STREET                        ,            ,11209,1,0,1,2067,1760,1920,1,A5,861000,2012-09-28,7.473069088032197,13.665849783409868
348,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5917,22, ,A1,236 73RD   STREET                        ,            ,11209,1,0,1,4000,2846,1901,1,A1,1049000,2013-01-24,7.953669778649798,13.863347887378435
349,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5919,50, ,A5,469 74TH STREET                          ,            ,11209,1,0,1,2074,1332,1925,1,A5,715000,2013-06-17,7.194436851100335,13.480037821676145
350,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5921,69, ,A4,639 74TH STREET                          ,            ,11209,1,0,1,2000,1652,1910,1,A4,617500,2012-10-03,7.409741954080923,13.33343434748427
354,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5930,15, ,A4,430 74TH STREET                          ,            ,11209,1,0,1,1607,2640,1899,1,A4,683000,2013-04-26,7.878534196140362,13.434250138552928
356,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5937,69, ,A1,45 76TH   STREET                         ,            ,11209,1,0,1,2379,1248,1920,1,A1,600500,2012-09-11,7.129297548929373,13.305517920502176
357,3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1,5938,4, ,A9,7515 COLONIAL ROAD                       ,            ,11209,1,0,1,2000,1504,1925,1,A9,726500,2012-08-13,7.315883504509785,13.495993761992475
